date,open,high,low,close,volume
2013-10-16,19.0909,19.2563,19.0618,19.2174,2885533
2013-10-17,19.2076,19.5091,19.1707,19.48,1882710
2013-10-18,19.3243,19.3341,18.9596,19.0715,3431356
2013-10-21,19.1298,19.1736,19.0131,19.1396,2291141
2013-10-22,19.2271,19.3049,19.0909,19.2465,1795912
2013-10-23,19.0909,19.0909,18.8089,18.9451,3179728
2013-10-24,18.6727,18.77,18.5463,18.6144,3696412
2013-10-25,18.7214,18.8575,18.6727,18.7311,1558192
2013-10-28,18.9645,19.0326,18.8284,18.9742,1460218
2013-10-29,18.9742,19.0812,18.8877,18.9451,1637691
2013-10-30,18.9451,19.0715,18.8222,18.8867,1799313
2013-10-31,17.5252,17.5252,16.2025,16.7763,11273849
2013-11-01,16.5429,16.5429,16.2511,16.29,5029508
2013-11-04,16.3873,16.7179,16.1657,16.611,3705518
2013-11-05,16.5818,16.5818,16.3289,16.3873,4160979
2013-11-06,16.5526,16.6499,16.5137,16.6012,2180013
2013-11-07,16.679,16.8347,16.3581,16.397,3418133
2013-11-08,16.4262,16.4554,16.2025,16.2803,3311862
2013-11-11,16.222,16.2803,16.0663,16.1539,3304820
2013-11-12,16.5623,16.8347,16.5429,16.7568,4189714
2013-11-13,17.0778,17.4863,16.9903,17.4474,5316604
2013-11-14,17.9239,18.2546,17.7002,18.1379,8166625
2013-11-15,18.0698,18.1281,17.885,17.992,4038506
2013-11-18,18.5269,18.6338,18.1476,18.2059,5425913
2013-11-19,18.2546,18.3324,18.1184,18.1865,2972867
2013-11-20,18.1768,18.2254,17.9628,18.0211,2501383
2013-11-21,18.2546,18.2837,18.1087,18.1379,3632970
2013-11-22,18.1087,18.1379,17.7683,17.7975,3226513
2013-11-25,17.9142,17.9337,17.6419,17.671,3907681
2013-11-26,17.6808,17.7294,17.5446,17.6613,3262058
2013-11-27,17.8558,18.1087,17.8558,18.0211,1772798
2013-11-29,17.885,18.0066,17.7586,17.7975,1561337
2013-12-02,17.9822,18.2351,17.9531,18.0892,2241801
2013-12-03,17.9433,17.9531,17.8169,17.9044,1727999
2013-12-04,17.5349,17.5349,17.2626,17.3987,2945524
2013-12-05,17.3793,17.4279,17.2626,17.3015,1454688
2013-12-06,17.5641,17.6662,17.5154,17.603,1127309
2013-12-09,17.6419,17.6516,17.4036,17.4765,1439630
2013-12-10,17.1459,17.2237,17.0301,17.1361,1973177
2013-12-11,17.2626,17.282,16.9222,16.9611,2459808
2013-12-12,17.1653,17.2042,17.0389,17.1848,2583642
2013-12-13,17.0778,17.175,17.0,17.0292,2214119
2013-12-16,17.1167,17.1361,16.9708,17.0194,1717173
2013-12-17,16.8347,16.8638,16.752,16.7763,1511421
2013-12-18,16.8347,17.1167,16.7568,17.0681,2233502
2013-12-19,17.0,17.0681,16.9319,17.0,1007311
2013-12-20,17.0875,17.1605,17.0,17.0778,2155413
2013-12-23,17.1848,17.3598,17.0972,17.2723,1068630
2013-12-24,16.9416,17.0194,16.9394,16.9708,923502
2013-12-26,16.9222,17.0,16.8152,16.8347,2049148
2013-12-27,16.5915,16.7763,16.5623,16.6207,2892628
2013-12-30,16.8541,16.9903,16.7179,16.9805,2027218
2013-12-31,17.0194,17.0681,16.7763,16.8152,1570889
2014-01-02,16.8541,16.9125,16.611,16.6888,2625416
2014-01-03,16.7374,16.786,16.6499,16.7082,928559
2014-01-06,16.8249,17.0097,16.7957,16.8249,2356266
2014-01-07,16.8833,16.9027,16.7277,16.8444,3439823
2014-01-08,16.9222,17.8169,16.786,17.7488,8603933
2014-01-09,17.6613,17.6905,17.4863,17.5835,2604800
2014-01-10,17.2431,17.3404,16.9903,17.3112,3406694
2014-01-13,17.1945,17.282,17.0292,17.0681,4891854
2014-01-14,16.9611,17.1167,16.8736,17.0486,2861641
2014-01-15,16.9125,17.0292,16.8638,16.9319,2725962
